Name,Address,Source,XmlTag,RawName
CharhorizontalHighThreshold,0x206b00e8,RegAddrGroup,Integer,CharhorizontalHighThreshold_RegAddr
CharhorizontalInheritRoi,0x206b012c,RegAddrGroup,Integer,CharhorizontalInheritRoi_RegAddr
CharhorizontalInheritRoiEnable,0x206b0128,RegAddrGroup,Integer,CharhorizontalInheritRoiEnable_RegAddr
CharhorizontalIterationCount,0x206b010c,RegAddrGroup,Integer,CharhorizontalIterationCount_RegAddr
CharhorizontalKernelHeight,0x206b0108,RegAddrGroup,Integer,CharhorizontalKernelHeight_RegAddr
CharhorizontalKernelWidth,0x206b0104,RegAddrGroup,Integer,CharhorizontalKernelWidth_RegAddr
CharhorizontalLowThreshold,0x206b00e4,RegAddrGroup,Integer,CharhorizontalLowThreshold_RegAddr
CharhorizontalModuleCustomName,0x206b0084,RegAddrGroup,Integer,CharhorizontalModuleCustomName_RegAddr
CharhorizontalMorphologyMethod,0x206b00fc,RegAddrGroup,Integer,CharhorizontalMorphologyMethod_RegAddr
CharhorizontalNumberLimitHigh,0x206b0114,RegAddrGroup,Integer,CharhorizontalNumberLimitHigh_RegAddr
CharhorizontalNumberLimitLow,0x206b0110,RegAddrGroup,Integer,CharhorizontalNumberLimitLow_RegAddr
CharhorizontalOutputEnable,0x206b0118,RegAddrGroup,Integer,CharhorizontalOutputEnable_RegAddr
CharhorizontalPmShowEnable,0x206b0124,RegAddrGroup,Integer,CharhorizontalPmShowEnable_RegAddr
CharhorizontalPolarityType,0x206b00c4,RegAddrGroup,Integer,CharhorizontalPolarityType_RegAddr
CharhorizontalResultDrawEnable,0x206b011c,RegAddrGroup,Integer,CharhorizontalResultDrawEnable_RegAddr
CharhorizontalRoiType,0x206b0000,RegAddrGroup,Integer,CharhorizontalRoiType_RegAddr
CharhorizontalStructureElement,0x206b0100,RegAddrGroup,Integer,CharhorizontalStructureElement_RegAddr
CharhorizontalSubFixtureEnable,0x206b0080,RegAddrGroup,Integer,CharhorizontalSubFixtureEnable_RegAddr
ChunkEnable,0x0a000008,RegAddrGroup,Integer,ChunkEnable_RegAddr
ChunkModeActive,0x0a000000,RegAddrGroup,Integer,ChunkModeActive_RegAddr
ChunkSelector,0x0a000004,RegAddrGroup,Integer,ChunkSelector_RegAddr
CircleexistAlgorithmVersion,0x20270090,RegAddrGroup,Integer,CircleexistAlgorithmVersion_RegAddr
